,state,action,reward,job_wait_reward,util_reward,invalid_reward,next_state
0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.19549770653247833, 0.0]",-0.048,-0.0,-0.048,-0.0,"[0.16, 0.0, 0.0, 0.0, 0.0]"
1,"[0.16, 0.0, 0.0, 0.0, 0.0]","[-0.10646520555019379, 0.0]",-0.042,-0.0,-0.042,-0.0,"[0.14, 0.0, 0.0, 0.0, 0.0]"
2,"[0.14, 0.0, 0.0, 0.0, 0.0]","[-0.0770597755908966, 0.0]",-0.03,-0.0,-0.03,-0.0,"[0.1, 0.0, 0.0, 0.0, 0.0]"
3,"[0.1, 0.0, 0.0, 0.0, 0.0]","[-0.012830819934606552, 0.0]",-0.006,-0.0,-0.006,-0.0,"[0.02, 0.0, 0.0, 0.0, 0.0]"
4,"[0.02, 0.0, 0.0, 0.0, 0.0]","[0.23973041772842407, 0.0]",-0.012,-0.0,-0.012,-0.0,"[0.04, 0.0, 0.0, 0.0, 0.0]"
5,"[0.04, 0.0, 0.0, 0.0, 0.0]","[0.19213628768920898, 0.0]",-0.018,-0.0,-0.018,-0.0,"[0.06, 0.0, 0.0, 0.0, 0.0]"
6,"[0.06, 0.0, 0.0, 0.0, 0.0]","[0.15995165705680847, 0.0]",-0.024,-0.0,-0.024,-0.0,"[0.08, 0.0, 0.0, 0.0, 0.0]"
7,"[0.08, 0.0, 0.0, 0.0, 0.0]","[0.07210538536310196, 0.0]",-0.03,-0.0,-0.03,-0.0,"[0.1, 0.0, 0.0, 0.0, 0.0]"
8,"[0.1, 0.0, 0.0, 0.0, 0.0]","[0.015094691887497902, 0.0]",-0.33599999999999997,-0.3,-0.036,-0.0,"[0.12, 0.0, 0.0, 1.0, 1.0]"
9,"[0.12, 0.0, 0.0, 1.0, 1.0]","[-0.10426401346921921, 0.0401960127055645]",-0.18,-0.15,-0.03,-0.0,"[0.1, 0.2, 0.0, 0.5, 0.0]"
10,"[0.1, 0.2, 0.0, 0.5, 0.0]","[-0.12603159248828888, 0.1092182919383049]",-0.024,-0.0,-0.024,-0.0,"[0.08, 0.25, 0.0, 0.0, 0.0]"
11,"[0.08, 0.25, 0.0, 0.0, 0.0]","[0.9614336490631104, 0.0]",-0.03,-0.0,-0.03,-0.0,"[0.1, 0.39999999999999997, 0.0, 0.0, 0.0]"
12,"[0.1, 0.39999999999999997, 0.0, 0.0, 0.0]","[0.9696930646896362, 0.0]",-0.036,-0.0,-0.036,-0.0,"[0.12, 0.33333333333333337, 0.0, 0.0, 0.0]"
13,"[0.12, 0.33333333333333337, 0.0, 0.0, 0.0]","[0.9454305768013, 0.0]",-0.222,-0.18,-0.042,-0.0,"[0.14, 0.28571428571428575, 0.0, 0.6, 1.0]"
14,"[0.14, 0.28571428571428575, 0.0, 0.6, 1.0]","[0.08439331501722336, 0.0]",-0.048,-0.0,-0.048,-0.0,"[0.16, 0.625, 0.0, 0.0, 0.0]"
15,"[0.16, 0.625, 0.0, 0.0, 0.0]","[0.9568769931793213, 0.0]",-0.054,-0.0,-0.054,-0.0,"[0.18, 0.5555555555555556, 0.0, 0.0, 0.0]"
16,"[0.18, 0.5555555555555556, 0.0, 0.0, 0.0]","[0.8690018057823181, 0.0]",-0.06,-0.0,-0.06,-0.0,"[0.2, 0.5, 0.0, 0.0, 0.0]"
17,"[0.2, 0.5, 0.0, 0.0, 0.0]","[0.8381093144416809, 0.0]",-0.066,-0.0,-0.066,-0.0,"[0.22, 0.45454545454545453, 0.0, 0.0, 0.0]"
18,"[0.22, 0.45454545454545453, 0.0, 0.0, 0.0]","[0.7492755055427551, 0.0]",-0.072,-0.0,-0.072,-0.0,"[0.24, 0.16666666666666666, 0.0, 0.0, 0.0]"
19,"[0.24, 0.16666666666666666, 0.0, 0.0, 0.0]","[-0.31724685430526733, 0.0]",-0.1517142857142857,-0.0857142857142857,-0.066,-0.0,"[0.22, 0.1818181818181818, 0.0, 0.2857142857142857, 1.0]"
20,"[0.22, 0.1818181818181818, 0.0, 0.2857142857142857, 1.0]","[0.5310655832290649, 0.0]",-0.072,-0.0,-0.072,-0.0,"[0.24, 0.33333333333333337, 0.0, 0.0, 0.0]"
21,"[0.24, 0.33333333333333337, 0.0, 0.0, 0.0]","[0.4334116280078888, 0.0]",-0.078,-0.0,-0.078,-0.0,"[0.26, 0.15384615384615388, 0.0, 0.0, 0.0]"
22,"[0.26, 0.15384615384615388, 0.0, 0.0, 0.0]","[-0.4724047780036926, 0.0]",-0.072,-0.0,-0.072,-0.0,"[0.24, 0.16666666666666666, 0.0, 0.0, 0.0]"
23,"[0.24, 0.16666666666666666, 0.0, 0.0, 0.0]","[-0.3359331488609314, 0.0]",-0.066,-0.0,-0.066,-0.0,"[0.22, 0.1818181818181818, 0.0, 0.0, 0.0]"
24,"[0.22, 0.1818181818181818, 0.0, 0.0, 0.0]","[-0.16874858736991882, 0.0]",-0.12666666666666665,-0.06666666666666667,-0.06,-0.0,"[0.2, 0.10000000000000002, 0.0, 0.2222222222222222, 1.0]"
25,"[0.2, 0.10000000000000002, 0.0, 0.2222222222222222, 1.0]","[0.5624499917030334, 0.0]",-0.066,-0.0,-0.066,-0.0,"[0.22, 0.3636363636363636, 0.0, 0.0, 0.0]"
26,"[0.22, 0.3636363636363636, 0.0, 0.0, 0.0]","[0.5822487473487854, 0.0]",-0.072,-0.0,-0.072,-0.0,"[0.24, 0.16666666666666666, 0.0, 0.0, 0.0]"
27,"[0.24, 0.16666666666666666, 0.0, 0.0, 0.0]","[-0.4005441665649414, 0.0]",-0.066,-0.0,-0.066,-0.0,"[0.22, 0.1818181818181818, 0.0, 0.0, 0.0]"
28,"[0.22, 0.1818181818181818, 0.0, 0.0, 0.0]","[-0.167972132563591, 0.0]",-0.06,-0.0,-0.06,-0.0,"[0.2, 0.10000000000000002, 0.0, 0.0, 0.0]"
29,"[0.2, 0.10000000000000002, 0.0, 0.0, 0.0]","[-0.2121957689523697, 0.0]",-0.1463076923076923,-0.09230769230769231,-0.054,-0.0,"[0.18, 0.11111111111111108, 0.0, 0.3076923076923077, 1.0]"
30,"[0.18, 0.11111111111111108, 0.0, 0.3076923076923077, 1.0]","[0.4670090973377228, 0.0]",-0.06,-0.0,-0.06,-0.0,"[0.2, 0.15, 0.0, 0.0, 0.0]"
31,"[0.2, 0.15, 0.0, 0.0, 0.0]","[-0.14830873906612396, 0.0]",-0.054,-0.0,-0.054,-0.0,"[0.18, 0.11111111111111108, 0.0, 0.0, 0.0]"
32,"[0.18, 0.11111111111111108, 0.0, 0.0, 0.0]","[-0.042594075202941895, 0.0]",-0.048,-0.0,-0.048,-0.0,"[0.16, 0.1875, 0.0, 0.0, 0.0]"
33,"[0.16, 0.1875, 0.0, 0.0, 0.0]","[0.3797314465045929, 0.0]",-0.054,-0.0,-0.054,-0.0,"[0.18, 0.11111111111111108, 0.0, 0.0, 0.0]"
34,"[0.18, 0.11111111111111108, 0.0, 0.0, 0.0]","[-0.11087337136268616, 0.0]",-0.048,-0.0,-0.048,-0.0,"[0.16, 0.0, 0.0, 0.0, 0.0]"
35,"[0.16, 0.0, 0.0, 0.0, 0.0]","[-0.10396797955036163, 0.0]",-0.042,-0.0,-0.042,-0.0,"[0.14, 0.14285714285714288, 0.0, 0.0, 0.0]"
36,"[0.14, 0.14285714285714288, 0.0, 0.0, 0.0]","[0.28344759345054626, 0.0]",-0.048,-0.0,-0.048,-0.0,"[0.16, 0.125, 0.0, 0.0, 0.0]"
37,"[0.16, 0.125, 0.0, 0.0, 0.0]","[0.09007412195205688, 0.0]",-0.12458823529411764,-0.07058823529411765,-0.054,-0.0,"[0.18, 0.11111111111111108, 0.0, 0.23529411764705882, 1.0]"
38,"[0.18, 0.11111111111111108, 0.0, 0.23529411764705882, 1.0]","[0.49334704875946045, 0.0]",-0.06,-0.0,-0.06,-0.0,"[0.2, 0.5, 0.0, 0.0, 0.0]"
39,"[0.2, 0.5, 0.0, 0.0, 0.0]","[0.8021150231361389, 0.0]",-0.066,-0.0,-0.066,-0.0,"[0.22, 0.45454545454545453, 0.0, 0.0, 0.0]"
40,"[0.22, 0.45454545454545453, 0.0, 0.0, 0.0]","[0.7451533675193787, 0.0]",-0.072,-0.0,-0.072,-0.0,"[0.24, 0.4166666666666667, 0.0, 0.0, 0.0]"
41,"[0.24, 0.4166666666666667, 0.0, 0.0, 0.0]","[0.6583993434906006, 0.0]",-0.123,-0.045,-0.078,-0.0,"[0.26, 0.38461538461538464, 0.0, 0.15, 1.0]"
42,"[0.26, 0.38461538461538464, 0.0, 0.15, 1.0]","[0.7481452822685242, 0.0]",-0.084,-0.0,-0.084,-0.0,"[0.28, 0.5714285714285715, 0.0, 0.0, 0.0]"
43,"[0.28, 0.5714285714285715, 0.0, 0.0, 0.0]","[0.9687101244926453, 0.0]",-0.09,-0.0,-0.09,-0.0,"[0.3, 0.5333333333333334, 0.0, 0.0, 0.0]"
44,"[0.3, 0.5333333333333334, 0.0, 0.0, 0.0]","[0.8874200582504272, 0.0]",-0.096,-0.0,-0.096,-0.0,"[0.32, 0.5, 0.0, 0.0, 0.0]"
45,"[0.32, 0.5, 0.0, 0.0, 0.0]","[0.7779062390327454, 0.0]",-0.10200000000000001,-0.0,-0.10200000000000001,-0.0,"[0.34, 0.4705882352941176, 0.0, 0.0, 0.0]"
46,"[0.34, 0.4705882352941176, 0.0, 0.0, 0.0]","[0.6025487780570984, 0.0]",-0.158,-0.049999999999999996,-0.108,-0.0,"[0.36, 0.4444444444444443, 0.0, 0.16666666666666666, 1.0]"
47,"[0.36, 0.4444444444444443, 0.0, 0.16666666666666666, 1.0]","[0.7706295847892761, 0.0]",-0.11399999999999999,-0.0,-0.11399999999999999,-0.0,"[0.38, 0.6315789473684209, 0.0, 0.0, 0.0]"
48,"[0.38, 0.6315789473684209, 0.0, 0.0, 0.0]","[0.9624437689781189, 0.0]",-0.12,-0.0,-0.12,-0.0,"[0.4, 0.6, 0.0, 0.0, 0.0]"
49,"[0.4, 0.6, 0.0, 0.0, 0.0]","[0.7974002361297607, 0.0]",-0.52,-0.0,-0.12,-0.4,"[0.4, 0.4250000000000001, 0.0, 0.0, 0.0]"
50,"[0.4, 0.4250000000000001, 0.0, 0.0, 0.0]","[0.39313995838165283, 0.0]",-0.138,-0.012,-0.126,-0.0,"[0.42, 0.38095238095238093, 0.0, 0.04, 1.0]"
51,"[0.42, 0.38095238095238093, 0.0, 0.04, 1.0]","[0.7554082274436951, 0.0]",-0.526,-0.0,-0.126,-0.4,"[0.42, 0.4285714285714285, 0.0, 0.0, 0.0]"
52,"[0.42, 0.4285714285714285, 0.0, 0.0, 0.0]","[0.38183003664016724, 0.0]",-0.132,-0.0,-0.132,-0.0,"[0.44, 0.40909090909090906, 0.0, 0.0, 0.0]"
