#{"t_start": 1713073739.1269324, "env_id": "SingleDC-v0"}
r,l,t,ep_job_wait_rew_mean,ep_util_rew_mean,ep_valid_count
-1138.84861,2549,9.303526,0.026956996042310288,0.0027074146724206617,332
-286.433304,520,11.357666,0.0009238292141052374,0.05840307692307655,61
-706.065362,1628,16.772833,0.02106253593770727,0.004379484029484073,208
-1096.621468,2348,24.499283,0.026789625438592174,0.0027275979557070747,184
-1018.643481,2193,31.578239,0.024820448902763994,0.002955677154582874,154
-749.617287,1722,37.373837,0.016173395002450016,0.005432404181184466,158
-182.074811,522,39.176891,0.0019625351035678276,0.015551724137931008,143
-205.425242,556,41.128943,0.0032575045879833526,0.01391438848920874,122
-205.517361,577,43.068235,0.0052468082733330805,0.012387868284228866,148
-210.921647,589,45.064652,0.004365864128188681,0.011994906621392248,142
-335.420312,886,48.281028,0.009579112501737479,0.00783182844243773,176
-174.076719,541,50.146402,0.002155296993214629,0.017850277264325243,196
-161.22594,531,51.956413,0.0018474239634361904,0.018732203389830535,219
-155.645724,523,53.764637,0.0016988855278725593,0.019665774378585073,227
-168.572461,520,55.656802,0.001124112267119588,0.034283076923077034,252
-170.176721,531,57.531079,0.0009936278488944339,0.029840677966101636,242
-161.189133,520,59.353252,0.0009664231055564399,0.02671961538461537,237
-177.929517,521,61.245121,0.0009371498107196624,0.03218925143953916,220
-231.841923,520,63.214845,0.000924186576508456,0.06036923076923071,206
-191.51393,520,65.211642,0.0009276520770186675,0.052099615384615494,271
-239.868546,637,67.384052,0.003100099961391813,0.025095447409733046,187
-215.742929,644,69.647404,0.0020408053137001723,0.021317701863354105,230
-252.7987,642,71.757718,0.0033778971827232813,0.016247663551402104,115
-172.313895,520,73.540901,0.0010245548276171532,0.026387307692307585,208
-173.749767,519,75.353414,0.0011085357039823827,0.02487398843930618,197
-209.351155,575,77.496368,0.0022294720322278147,0.01851026086956513,151
-166.465028,545,79.361122,0.001258914581346189,0.022997064220183393,239
-176.146571,541,81.280429,0.0011614997980224973,0.0224317929759703,207
-204.594286,587,83.312255,0.0021630081697110244,0.017561499148211278,172
-350.636221,966,86.527349,0.004219944518797804,0.012499378881987225,224
-234.007594,696,89.089331,0.00458430793782637,0.01697068965517244,236
-213.528095,633,91.34833,0.004774452798626947,0.0185090047393365,222
-233.288337,688,93.774523,0.00411642610579512,0.01755000000000001,229
-322.230473,887,96.719773,0.004741309880688464,0.014006313416008973,220
-312.698317,882,99.771782,0.004307590873513886,0.014161224489795855,236
-258.351191,763,102.350911,0.003957480070962732,0.01741258191349953,253
-386.259755,1037,105.912987,0.005389514600425458,0.013894889103181868,238
-523.470509,1300,110.174328,0.00931904046924021,0.009758769230768806,198
-557.244166,1362,114.720613,0.01033880298869733,0.00878986784140922,186
-594.904234,1440,119.444235,0.011458798826220537,0.009146249999999509,200
-612.175486,1462,124.255573,0.011255434958840358,0.008807934336524872,176
-434.185848,1090,127.842757,0.006658857267504864,0.013098715596329974,184
-518.994793,1271,132.039405,0.008648023581716714,0.011791345397324494,190
-462.591928,1112,135.664108,0.006273002136680044,0.013419064748201063,138
-338.981311,815,138.370534,0.006674102174598693,0.014300613496932742,110
-385.882712,948,141.593802,0.009416681111107262,0.013710759493671136,166
-630.355817,1470,146.38,0.012346085138238495,0.009195918367346423,158
-890.921932,1912,152.557256,0.022239842888561043,0.004829497907949768,116
-689.775013,1574,157.629265,0.013560421762490827,0.0073623888182968444,124
-944.957656,2019,164.098079,0.022030260982067753,0.004679643387815617,106
-804.32535,1798,169.872112,0.01793481929438621,0.005211790878753992,134
-910.681107,1981,176.237947,0.021196432175677835,0.004833013629479864,134
-428.812233,1003,179.587897,0.012206450410730563,0.009452243270189517,112
