,state,action,reward,job_wait_reward,util_reward,invalid_reward,next_state
0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.17722856998443604]",-0.07200000000000001,-0.0,-0.07200000000000001,-0.0,"[0.16, 0.0, 0.0, 0.0, 0.0]"
1,"[0.16, 0.0, 0.0, 0.0, 0.0]","[-0.28276321291923523, 0.0]",-0.054,-0.0,-0.054,-0.0,"[0.12, 0.0, 0.0, 0.0, 0.0]"
2,"[0.12, 0.0, 0.0, 0.0, 0.0]","[-0.24827739596366882, 0.0]",-0.045000000000000005,-0.0,-0.045000000000000005,-0.0,"[0.1, 0.0, 0.0, 0.0, 0.0]"
3,"[0.1, 0.0, 0.0, 0.0, 0.0]","[-0.10931359231472015, 0.0]",-0.009000000000000001,-0.0,-0.009000000000000001,-0.0,"[0.02, 0.0, 0.0, 0.0, 0.0]"
4,"[0.02, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.06849373131990433]",-0.018000000000000002,-0.0,-0.018000000000000002,-0.0,"[0.04, 0.0, 0.0, 0.0, 0.0]"
5,"[0.04, 0.0, 0.0, 0.0, 0.0]","[0.8238151669502258, 0.0]",-0.027,-0.0,-0.027,-0.0,"[0.06, 0.0, 0.0, 0.0, 0.0]"
6,"[0.06, 0.0, 0.0, 0.0, 0.0]","[0.3094896078109741, 0.0]",-0.036000000000000004,-0.0,-0.036000000000000004,-0.0,"[0.08, 0.0, 0.0, 0.0, 0.0]"
7,"[0.08, 0.0, 0.0, 0.0, 0.0]","[-0.1072690337896347, 0.0]",-0.027,-0.0,-0.027,-0.0,"[0.06, 0.0, 0.0, 0.0, 0.0]"
8,"[0.06, 0.0, 0.0, 0.0, 0.0]","[0.30816471576690674, 0.0]",-0.486,-0.45,-0.036000000000000004,-0.0,"[0.08, 0.0, 0.0, 1.0, 1.0]"
9,"[0.08, 0.0, 0.0, 1.0, 1.0]","[0.7959039211273193, 0.0]",-0.045000000000000005,-0.0,-0.045000000000000005,-0.0,"[0.1, 0.39999999999999997, 0.0, 0.0, 0.0]"
10,"[0.1, 0.39999999999999997, 0.0, 0.0, 0.0]","[0.650198757648468, 0.0]",-0.054,-0.0,-0.054,-0.0,"[0.12, 0.33333333333333337, 0.0, 0.0, 0.0]"
11,"[0.12, 0.33333333333333337, 0.0, 0.0, 0.0]","[0.6447100639343262, 0.0]",-0.06300000000000001,-0.0,-0.06300000000000001,-0.0,"[0.14, 0.28571428571428575, 0.0, 0.0, 0.0]"
12,"[0.14, 0.28571428571428575, 0.0, 0.0, 0.0]","[0.044198162853717804, 0.0]",-0.07200000000000001,-0.0,-0.07200000000000001,-0.0,"[0.16, 0.25, 0.0, 0.0, 0.0]"
