,0,1,2,3,4,5,6,7,8,9
0,,,,,,,,,,
1,"[0, 1, 2]","[1, 1, 4]","[2, 1, 8]","[3, 0, 0]","[4, 0, 0]","[5, 0, 0]","[6, 0, 0]","[7, 0, 0]","[8, 0, 0]","[9, 1, 2]"
2,"[0, 1, 2]","[1, 0, 0]","[2, 1, 8]","[3, 0, 0]","[4, 0, 0]","[5, 0, 0]","[6, 0, 0]","[7, 0, 0]","[8, 0, 0]","[9, 1, 2]"
3,"[0, 0, 0]","[1, 0, 0]","[2, 1, 8]","[3, 0, 0]","[4, 0, 0]","[5, 0, 0]","[6, 0, 0]","[7, 0, 0]","[8, 0, 0]","[9, 1, 2]"
4,"[0, 0, 0]","[1, 0, 0]","[2, 0, 0]","[3, 0, 0]","[4, 0, 0]","[5, 0, 0]","[6, 0, 0]","[7, 0, 0]","[8, 0, 0]","[9, 1, 2]"
5,"[0, 0, 0]","[1, 0, 0]","[2, 0, 0]","[3, 0, 0]","[4, 0, 0]","[5, 0, 0]","[6, 0, 0]","[7, 0, 0]","[8, 0, 0]","[9, 2, 4]"
6,"[0, 0, 0]","[1, 0, 0]","[2, 0, 0]","[3, 0, 0]","[4, 0, 0]","[5, 0, 0]","[6, 0, 0]","[7, 0, 0]","[8, 1, 2]","[9, 2, 4]"
7,"[0, 0, 0]","[1, 0, 0]","[2, 0, 0]","[3, 1, 2]","[4, 0, 0]","[5, 0, 0]","[6, 0, 0]","[7, 0, 0]","[8, 1, 2]","[9, 2, 4]"
8,"[0, 0, 0]","[1, 0, 0]","[2, 0, 0]","[3, 1, 2]","[4, 0, 0]","[5, 0, 0]","[6, 0, 0]","[7, 0, 0]","[8, 1, 2]","[9, 1, 2]"
9,"[0, 0, 0]","[1, 0, 0]","[2, 0, 0]","[3, 2, 4]","[4, 0, 0]","[5, 0, 0]","[6, 0, 0]","[7, 0, 0]","[8, 1, 2]","[9, 1, 2]"
10,"[0, 0, 0]","[1, 0, 0]","[2, 0, 0]","[3, 2, 4]","[4, 0, 0]","[5, 0, 0]","[6, 0, 0]","[7, 1, 2]","[8, 1, 2]","[9, 1, 2]"
11,"[0, 0, 0]","[1, 0, 0]","[2, 0, 0]","[3, 2, 4]","[4, 0, 0]","[5, 0, 0]","[6, 1, 2]","[7, 1, 2]","[8, 1, 2]","[9, 1, 2]"
12,"[0, 0, 0]","[1, 0, 0]","[2, 0, 0]","[3, 2, 4]","[4, 0, 0]","[5, 0, 0]","[6, 2, 4]","[7, 1, 2]","[8, 1, 2]","[9, 1, 2]"
13,"[0, 1, 2]","[1, 0, 0]","[2, 0, 0]","[3, 2, 4]","[4, 0, 0]","[5, 0, 0]","[6, 2, 4]","[7, 1, 2]","[8, 1, 2]","[9, 1, 2]"
14,"[0, 0, 0]","[1, 0, 0]","[2, 0, 0]","[3, 2, 4]","[4, 0, 0]","[5, 0, 0]","[6, 2, 4]","[7, 1, 2]","[8, 1, 2]","[9, 1, 2]"
15,"[0, 0, 0]","[1, 0, 0]","[2, 0, 0]","[3, 2, 4]","[4, 0, 0]","[5, 0, 0]","[6, 2, 4]","[7, 1, 2]","[8, 2, 6]","[9, 1, 2]"
16,"[0, 0, 0]","[1, 0, 0]","[2, 0, 0]","[3, 2, 4]","[4, 0, 0]","[5, 0, 0]","[6, 2, 4]","[7, 1, 2]","[8, 3, 8]","[9, 1, 2]"
17,"[0, 0, 0]","[1, 0, 0]","[2, 0, 0]","[3, 2, 4]","[4, 0, 0]","[5, 0, 0]","[6, 2, 4]","[7, 1, 2]","[8, 4, 10]","[9, 1, 2]"
18,"[0, 0, 0]","[1, 1, 2]","[2, 0, 0]","[3, 2, 4]","[4, 0, 0]","[5, 0, 0]","[6, 2, 4]","[7, 1, 2]","[8, 4, 10]","[9, 1, 2]"
