,job_id,arrival_time,mi,allocated_cores
0,0,2,475,6
1,1,3,904,8
2,2,4,35,4
3,3,6,181,2
4,4,8,339,8
5,5,9,577,4
6,6,9,853,6
7,7,9,350,8
8,8,14,268,6
9,9,15,62,4
10,10,16,821,2
11,11,18,380,4
12,12,18,572,6
13,13,19,984,4
14,14,20,2,4
15,15,22,145,8
16,16,24,779,6
17,17,25,805,8
18,18,25,769,6
19,19,27,537,6
20,20,27,979,6
21,21,27,396,8
22,22,27,602,8
23,23,28,63,8
24,24,29,410,2
25,25,29,723,4
26,26,29,239,6
27,27,30,944,6
28,28,31,687,4
29,29,31,288,2
30,30,31,769,6
31,31,32,83,6
32,32,32,975,8
33,33,33,49,2
34,34,33,933,8
35,35,34,253,2
36,36,37,758,6
37,37,38,0,8
38,38,38,254,6
39,39,38,749,6
40,40,38,532,8
41,41,38,115,4
42,42,38,394,6
43,43,39,376,2
44,44,41,568,2
45,45,42,668,2
46,46,44,841,6
47,47,45,497,6
48,48,46,392,8
49,49,46,144,2
50,50,47,805,4
51,51,48,713,8
52,52,49,409,6
53,53,51,518,8
54,54,52,665,2
55,55,53,165,4
56,56,55,27,2
57,57,56,318,6
58,58,57,596,4
59,59,60,487,4
60,60,61,693,6
61,61,63,820,8
62,62,64,488,6
63,63,64,134,6
64,64,65,851,8
65,65,66,575,4
66,66,66,740,2
67,67,66,705,2
68,68,67,968,2
69,69,69,295,6
70,70,71,705,6
71,71,73,366,2
72,72,74,395,6
73,73,77,231,8
74,74,78,344,6
75,75,79,948,2
76,76,82,293,2
77,77,82,246,6
78,78,83,583,4
79,79,87,258,6
80,80,87,473,4
81,81,88,834,8
82,82,89,230,8
83,83,89,427,4
84,84,89,610,4
85,85,90,546,4
86,86,90,975,4
87,87,92,680,8
88,88,92,740,8
89,89,93,967,6
90,90,93,414,2
91,91,95,355,4
92,92,97,44,4
93,93,98,184,4
94,94,98,237,6
95,95,100,184,2
96,96,100,755,4
97,97,100,536,4
98,98,100,668,6
99,99,101,820,4
100,100,102,231,2
101,101,102,326,2
102,102,102,708,4
103,103,102,393,6
104,104,103,29,2
105,105,106,435,6
106,106,107,908,2
107,107,107,409,8
108,108,108,332,2
109,109,109,990,4
110,110,112,644,2
111,111,113,366,4
112,112,115,102,2
113,113,117,788,2
114,114,117,708,2
115,115,118,922,4
116,116,118,217,8
117,117,119,115,2
118,118,120,724,8
119,119,122,203,2
120,120,123,176,6
121,121,124,320,6
122,122,125,817,2
123,123,125,540,4
124,124,126,46,6
125,125,130,464,4
126,126,131,684,2
127,127,132,538,6
128,128,132,572,8
129,129,132,225,4
130,130,132,848,4
131,131,135,561,6
132,132,136,713,2
133,133,139,982,2
134,134,140,428,8
135,135,145,881,6
136,136,147,7,4
137,137,147,33,6
138,138,147,590,8
139,139,149,311,6
140,140,150,248,6
141,141,150,278,8
142,142,151,318,2
143,143,152,729,2
144,144,152,569,4
145,145,157,789,6
146,146,157,830,8
147,147,158,843,8
148,148,158,415,6
149,149,158,421,6
150,150,159,926,8
151,151,160,662,8
152,152,160,80,6
153,153,160,542,2
154,154,161,356,2
155,155,162,987,4
156,156,164,14,4
157,157,164,612,8
158,158,164,724,6
159,159,164,289,4
160,160,164,974,6
161,161,165,860,2
162,162,166,916,2
163,163,167,19,2
164,164,168,570,4
165,165,171,295,6
166,166,172,849,4
