,job_id,arrival_time,mi,allocated_cores
0,0,2,640,1
1,1,3,143,8
2,2,4,945,2
3,3,6,522,8
4,4,8,415,2
5,5,9,265,4
6,6,9,774,4
7,7,9,456,1
8,8,14,568,2
9,9,15,19,2
10,10,20,618,6
11,11,22,612,4
12,12,27,617,6
13,13,28,944,1
14,14,28,682,6
15,15,28,360,8
16,16,35,437,2
17,17,36,698,4
18,18,39,60,8
19,19,42,667,6
20,20,50,667,8
21,21,56,671,6
22,22,58,210,8
23,23,58,129,8
24,24,65,315,8
25,25,68,364,1
26,26,71,570,8
27,27,72,439,6
28,28,78,988,4
29,29,79,102,1
30,30,89,161,1
31,31,96,653,1
32,32,97,253,2
33,33,105,466,4
34,34,109,244,8
35,35,112,159,4
36,36,119,110,1
37,37,122,656,6
38,38,124,138,4
39,39,128,197,4
40,40,137,197,2
41,41,142,369,1
42,42,148,821,4
43,43,153,97,4
44,44,158,838,6
45,45,166,96,4
46,46,170,976,6
47,47,175,469,4
48,48,179,977,2
49,49,182,605,4
50,50,191,197,2
51,51,196,369,1
52,52,202,821,4
53,53,207,97,4
54,54,212,838,6
55,55,220,96,4
56,56,224,976,6
57,57,229,469,4
58,58,233,977,2
59,59,236,605,4
60,60,242,161,1
61,61,249,653,1
62,62,250,253,2
63,63,258,466,4
64,64,262,244,8
65,65,265,159,4
66,66,272,110,1
67,67,275,656,6
68,68,277,138,4
69,69,281,197,4
70,70,286,667,8
71,71,292,671,6
72,72,294,210,8
73,73,294,129,8
74,74,301,315,8
75,75,304,364,1
76,76,307,570,8
77,77,308,439,6
78,78,314,988,4
79,79,315,102,1
80,80,318,618,6
81,81,320,612,4
82,82,325,617,6
83,83,326,944,1
84,84,326,682,6
85,85,326,360,8
86,86,333,437,2
87,87,334,698,4
88,88,337,60,8
89,89,340,667,6
90,90,342,640,1
91,91,343,143,8
92,92,344,945,2
93,93,346,522,8
94,94,348,415,2
95,95,349,265,4
96,96,349,774,4
97,97,349,456,1
98,98,354,568,2
99,99,355,19,2
