,job_id,arrival_time,mi,allocated_cores
0,0,2,944,4
1,1,3,965,6
2,2,4,719,6
3,3,6,350,2
4,4,8,254,8
5,5,9,265,1
6,6,9,127,8
7,7,9,526,2
8,8,14,142,2
9,9,15,317,1
10,10,16,627,6
11,11,18,728,4
12,12,18,24,6
13,13,19,430,8
14,14,20,652,1
15,15,22,853,2
16,16,24,475,6
17,17,25,969,1
18,18,25,266,4
19,19,27,14,2
20,20,27,484,6
21,21,27,256,2
22,22,27,824,8
23,23,28,233,4
24,24,29,311,4
25,25,29,791,4
26,26,29,715,8
27,27,30,558,6
28,28,31,705,6
29,29,31,419,6
30,30,31,5,6
31,31,32,11,6
32,32,32,511,1
33,33,33,83,8
34,34,33,51,4
35,35,34,966,6
36,36,37,859,6
37,37,38,152,4
38,38,38,1,4
39,39,38,942,1
40,40,38,278,8
41,41,38,186,2
42,42,38,692,1
43,43,39,109,2
44,44,41,265,1
45,45,42,975,8
46,46,44,639,8
47,47,45,521,2
48,48,46,398,6
49,49,46,775,6
50,50,47,141,6
51,51,48,967,2
52,52,49,861,6
53,53,51,618,4
54,54,52,43,4
55,55,53,701,8
56,56,55,913,2
57,57,56,525,6
58,58,57,354,4
59,59,60,120,6
60,60,61,755,1
61,61,63,885,6
62,62,64,100,8
63,63,64,759,1
64,64,65,17,2
65,65,66,967,6
66,66,66,615,6
67,67,66,552,1
68,68,67,296,8
69,69,69,929,8
70,70,71,266,8
71,71,73,828,2
72,72,74,985,1
73,73,77,783,4
74,74,78,519,2
75,75,79,66,8
76,76,82,472,8
77,77,82,438,6
78,78,83,203,2
79,79,87,424,1
80,80,87,358,8
81,81,88,164,4
82,82,89,441,6
83,83,89,263,1
84,84,89,522,1
85,85,90,35,1
86,86,90,906,6
87,87,92,816,4
88,88,92,553,8
89,89,93,852,6
90,90,93,962,6
91,91,95,111,4
92,92,97,631,1
93,93,98,998,8
94,94,98,988,2
95,95,100,603,1
96,96,100,128,1
97,97,100,583,4
98,98,100,2,2
99,99,101,199,8
100,100,102,956,8
101,101,102,330,8
102,102,102,638,4
103,103,102,281,2
104,104,103,948,2
105,105,106,729,1
106,106,107,330,6
107,107,107,792,2
108,108,108,108,8
109,109,109,392,8
110,110,112,221,6
111,111,113,684,6
112,112,115,102,1
113,113,117,397,1
114,114,117,277,4
115,115,118,506,8
116,116,118,350,4
117,117,119,706,8
118,118,120,25,4
119,119,122,634,1
120,120,123,231,2
121,121,124,269,6
122,122,125,800,8
123,123,125,956,1
124,124,126,317,1
125,125,130,827,1
126,126,131,104,4
127,127,132,634,6
128,128,132,751,1
129,129,132,156,4
130,130,132,426,1
131,131,135,893,4
