,job_id,arrival_time,mi,allocated_cores
0,0,2,696,6
1,1,3,378,6
2,2,4,180,8
3,3,6,25,2
4,4,8,67,8
5,5,9,679,6
6,6,9,454,6
7,7,9,537,6
8,8,14,897,8
9,9,15,990,4
10,10,16,217,2
11,11,18,663,4
12,12,18,263,4
13,13,19,21,2
14,14,20,758,6
15,15,22,320,6
16,16,24,383,8
17,17,25,588,8
18,18,25,831,4
19,19,27,629,2
20,20,27,873,2
21,21,27,274,1
22,22,27,798,1
23,23,28,186,4
24,24,29,953,8
25,25,29,687,6
26,26,29,216,6
27,27,30,947,4
28,28,31,731,2
29,29,31,254,1
30,30,31,213,8
31,31,32,518,2
32,32,32,26,8
33,33,33,207,8
34,34,33,425,4
35,35,34,374,1
36,36,37,464,1
37,37,38,278,6
38,38,38,587,2
39,39,38,864,2
40,40,38,118,1
41,41,38,517,8
42,42,38,132,6
43,43,39,717,6
44,44,41,396,8
45,45,42,565,6
46,46,44,183,8
47,47,45,145,6
48,48,46,488,1
49,49,46,356,6
50,50,47,940,6
51,51,48,765,2
52,52,49,749,6
53,53,51,904,8
54,54,52,83,1
55,55,53,552,6
56,56,55,584,1
57,57,56,962,1
58,58,57,292,6
59,59,60,241,2
60,60,61,100,4
61,61,63,16,6
62,62,64,930,4
63,63,64,670,6
64,64,65,785,1
65,65,66,282,6
66,66,66,586,4
67,67,66,64,1
68,68,67,486,6
69,69,69,977,2
70,70,71,877,8
71,71,73,338,6
72,72,74,962,2
73,73,77,232,4
74,74,78,949,2
75,75,79,941,8
76,76,82,799,2
77,77,82,630,6
78,78,83,874,2
79,79,87,293,6
80,80,87,849,4
81,81,88,618,8
82,82,89,13,2
83,83,89,347,8
84,84,89,148,2
85,85,90,982,8
86,86,90,478,2
87,87,92,497,4
88,88,92,639,4
89,89,93,369,6
90,90,93,137,2
91,91,95,822,4
92,92,97,190,4
93,93,98,511,8
94,94,98,224,4
95,95,100,98,4
96,96,100,862,6
97,97,100,973,1
98,98,100,961,8
99,99,101,907,4
